date,hat,task,estimate_hours,actual_hours,notes
2026-08-24,Project manager,SAMPLE — delete before Milestone 1,1.0,1.0,Replace this row with real logged sessions; keep the header row
2026-08-30,Student,grabbing materials,5,4,Got a lot of documentation and ideas.
2026-08-31,Project manager,HW 1 (Late),3,5,Sorry for late but your AI slop is pissing me off.
2026-09-05,Project manager,HW 2,4,6,its good.
2026-09-06,project manager/researcher,HW 2,6,7,"found some canadites to reach out to and they got back to me, then I made some progress on backup ideas for my project."
2026-09-11, planner, hw 3, 8, 8.7,"worked on finding multiple extra people to talk to online. and worked on the HW assignments."
2026-09-13, architect, hw3, 6, 9,"filling out the requirements.md file"
2026-09-17,business analyst,hw 3 fine tuning,8,5,"Progressing through fine tuning last week's work (hw 3) and finishing this week's by going through my ideas and fine tuning."
2026-09-19,business analyst,hw 3 fine tuning,2,4,"Progressing through fine tuning last week's work (hw 3) and finishing this week's by going through my ideas and fine tuning."
2026-09-20,business analyst,hw 4,6,4,"Progressing through fine tuning last week's work (hw 3) and finishing this week's by going through my ideas and fine tuning."
2026-09-20,business analyst,planning and research (2 chat sessions x 2 h),4,4,"Fixed allowance of 2 hours per chat session for planning and research, not separately measured."
