req_id,type,priority,requirement,source,design_element,test_id,measurement_method,status
FR-INTAKE-01,functional,Must,"The system shall accept incident reports coming in from field agents through the intake api, any time a report comes in with the required fields filled in (location, severity, timestamp, reporting unit), doesnt matter if the network is up or down since offline is a requirement too.","proposal, basic intake needs",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INTAKE-02,functional,Must,"The system shall reject a report thats missing a required field or has a bad value in it (like a severity outside defined scale), before the report ever reaches an agent for reasoning, and it has to tell the sender what field was wrong so they can fix it and resend.","derived from FR-AGENT-01, an agent cant reason on data it cant trust",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INTAKE-03,functional,Should,"The system shall flag a new report as a possible duplicate of an existing incident, when the new report is within 1 block and 10 minutes of an open incident and the address matches or the event description corroborates the same event, so two field units reporting the same fire dont turn into two separate response chains.","came up thinking through the WebEOC comparison, its a problem they already solved and I dont want to look worse than the incumbent on something this basic",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AGENT-01,functional,Must,"The system (agent) shall classify an incoming incident report into a severity level, within 5 seconds of intake, using the fields on the report, not waiting on a human to tag it first.","proposal, this is basically step one of the agent doing its job",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AGENT-02,functional,Must,"The system (agent) shall generate a proposed resource assignment or action for a classified (classified as in given a class/name) incident, after classification finishes, and the proposal has to include which resource its recommending, a confidence score, why, and a list of other possible resources that could be called, not just a yes or no.",this is the core novelty of the whole project so it has to be in here,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AGENT-03,functional,Must,"The system (agent) shall escalate a proposal to a human dispatcher for approval instead of acting on it automatically, whenever the agent's confidence score on that proposal is below 75 (on a 0-100 scale), or the incident is tagged high severity.","competitive gap analysis, this is what none of the competitors really do (WebEOC and Esri dont reason at all, Palantir doesnt run local)",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AGENT-04,functional,Should,"The system (agent) shall abandon a reasoning attempt that hasnt produced a proposal, if it runs past ~60 seconds without finishing (rough target, pending actual model selection/benchmarking), at which point it falls back to a non-LLM path and returns an error to the human overseer instead of just hanging.","hardware constraint, comes from the local ai server spec (24gb card, not a datacenter)",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-COORD-01,functional,Must,"The system shall resolve a conflict where two agents propose the same unit for two different incidents, before either assignment is finalized, using a defined tiebreak: severity first, then the amount of useful information in the report, then whichever incident was reported first (always logged, used as the final fallback).","core project goal, decentralized coordination",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-COORD-02,functional,Must,"The system shall reconcile two agents holding different pictures of the same incident when one has newer info than the other, any time agents share overlapping incident data and the timestamps dont match, favoring the newer report unless a human overrides it.","same as above, this is the architecture I pitched",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-COORD-03,functional,Must,"The system shall apply a consistent tiebreak rule, any time two agent proposals cant both be satisfied with available resources.",derived from FR-COORD-01,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-COORD-04,functional,Could,"The system shall finalize a decision using the best available proposal instead of waiting indefinitely for every agent to agree, if agents havent reached consensus within 5 minutes, defaulting to whichever proposal has the highest confidence score.","risk I noticed while thinking through the negotiation logic, agents could in theory just never agree",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-RES-01,functional,Must,"The system shall assign an available resource or unit to an incident, once an agent proposal is approved, either automatically under the FR-AGENT-03 threshold or manually by a dispatcher.",proposal,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-RES-02,functional,Must,"A dispatcher shall override any system generated assignment, at any time, and the override is only accepted with a reason and has to log who did it and why, it cant just silently replace the agents choice; after the initial reason is sent, the dispatcher gets a follow-up window to expand on it without time pressure.","same reasoning as FR-AGENT-03, human in the loop",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-RES-03,functional,Must,"The system shall track the current status of every known resource, available, assigned, or out of service, updated in real time as assignments happen, and shall reserve a unit the moment it is proposed, so an agent never proposes a unit thats already committed somewhere else.","proposal, basic state tracking",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-DEGRADE-01,functional,Must,"The system shall detect when an agent node stops responding, within 30 seconds of the node missing its expected heartbeat.","architecture requirement, decentralized means it has to handle nodes dying",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-DEGRADE-02,functional,Must,"The system shall fall back for that agent, first to a lower level (smaller) model, then to a rules based workflow, then to a manual workflow, if the local model fails to load or crashes mid session, instead of the agent just going silent.","local ai server spec, Ollama on consumer gpu",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-DEGRADE-03,functional,Should,"The system shall continue operating on locally available data, when a node loses contact with the rest of the network, instead of freezing or refusing to act.",competitive gap analysis vs Palantir,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-DEGRADE-04,functional,Should,"The system shall reconcile state between a reconnected node and the rest of the network, once connectivity is restored after a partition, merging whatever decisions got made independently during the outage.","follows from FR-DEGRADE-03, if you can go offline you eventually have to come back online",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INFER-01,functional,Must,"The system shall run all agent reasoning, entirely on local hardware, zero calls out to an external api or cloud model, even if internet happens to be available.","proposal, core architecture decision",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INFER-02,functional,Must,"The system shall return an agent response, either a classification or a proposal, within [X] seconds on the target hardware (RTX 3090 or 4090, 24gb vram), not counting network time since its local anyway.",local ai server spec,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INFER-03,functional,Should,"The system shall verify that the host machine meets minimum requirements (24gb vram, 48gb system ram), on startup, before loading any model, and it should tell the user clearly if it doesnt meet spec instead of just failing weird later.",local ai server spec,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-INFER-04,functional,Should,"The system shall record which model and version an agent used to generate a given proposal, every time a proposal is generated, stored alongside the decision in the audit log.",derived from the audit and explainability need,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-ALERT-01,functional,Must,"The system shall notify responders assigned to an incident, within [X] seconds of the assignment being finalized.","proposal, basic notification need",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-ALERT-02,functional,Should,"The system shall record whether a notified responder has acknowledged the alert, for every alert sent, and if no ack comes back within [X] minutes it should flag that to the dispatcher.",gap I noticed comparing to how alerting usually works in these systems,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-MAP-01,functional,Should,"The system shall display the boundary of an active incident zone, on the operator dashboard, updated whenever the zone gets redefined.","proposal, situational awareness",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-MAP-02,functional,Could,"The system shall display the current location of assigned units, on the same dashboard, if location data is even available from the unit (might not be in scope depending on what data I actually have access to).","nice to have, not core to the pitch",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AUDIT-01,functional,Must,"The system shall log every proposal an agent generates, including what data it used and its confidence score, at the moment the proposal is generated, before its approved or rejected, so the log reflects the agents actual reasoning and not just the final outcome.","came out of thinking about what a reviewer would push back on, explainability",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AUDIT-02,functional,Must,"The system shall log any time a dispatcher overrides an agent decision, capturing who did it, when, and what the original agent proposal was so its comparable later.",derived from FR-RES-02,TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-AUTH-01,functional,Should,"The system shall restrict which actions a user can take, like a dispatcher being able to override versus an observer only being able to view, based on the role assigned to their account at login, logging every permitted or blocked action to a log that no one can delete from.","standard requirement, not project specific",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
FR-SIM-01,functional,Must,"The system shall replay a prewritten sequence of incident reports at a controlled pace, on demand, so I can run the same scenario reliably for the capstone defense demo instead of hoping live data behaves.","personal experience, dont trust live demos",TBD (Week 6 design),T-TBD,acceptance criteria in docs/requirements.md,planned
NFR-PERF-01,non-functional,Must,"Report classification (FR-AGENT-01) completes within 5 s of intake, p95 over 20 seeded reports, on the target hardware (24 GB GPU, local model)",Milestone 4 NFR session,TBD (Week 6 design),T-TBD,Script timestamps intake to severity tag for 20 runs; p95 recorded in `docs/measurements.md`,planned
NFR-REL-01,non-functional,Must,A dead agent node is detected within 30 s of its missed heartbeat (FR-DEGRADE-01),Milestone 4 NFR session,TBD (Week 6 design),T-TBD,"Kill a node process mid-scenario, time until the notification fires, 5 trials, all within 30 s",planned
NFR-REL-02,non-functional,Must,A reserved unit whose proposal is rejected or times out returns to available within 4 min (FR-RES-03),Milestone 4 NFR session,TBD (Week 6 design),T-TBD,"Reject a proposal in a test scenario, poll unit status, record time to ""available""",planned
NFR-REL-03,non-functional,Must,"In a simulated 2-minute network outage with 10 seeded reports submitted, 0 reports are lost and all are processed after reconnection (FR-INTAKE-01)",Milestone 4 NFR session,TBD (Week 6 design),T-TBD,"Disable the network, submit the 10 reports, restore the network, compare submitted vs processed counts",planned
NFR-REL-04,non-functional,Should,"In a simulated 20-minute network outage stress test with 100 seeded reports submitted, no more than 2% are lost",Milestone 4 NFR session,TBD (Week 6 design),T-TBD,Same procedure as NFR-REL-03 at 100 reports; record lost count in `docs/measurements.md`,planned
